,Advice.to.Sr..Management,Advice_to_management,sentiment,Polarity,Subjectivity,sentiment_txt
52,"Be cognizant that this is a bigger company now, what worked in Charlottesville might not work in NYC/London/Hong Kong. Think big, monitor metrics but don't get consumed by them and focus on hiring the best people possible.","Be cognizant that this is a bigger company now, what worked in Charlottesville might not work in NYC/London/Hong Kong. Think big, monitor metrics but don't get consumed by them and focus on hiring the best people possible.","Sentiment(polarity=0.25, subjectivity=0.475)",0.14743589743589744,0.43333333333333335,pos
53,"As an educated female millennial, I felt that this was the most unwelcoming environment imaginable for young and passionate talent. I would have appreciated management giving me an unbiased and sincere attitude when approaching them about my concerns and unhappiness. It was clear my manager only cared about particular team members that had been around longer solely because he based an employees value on their collected knowledge of the team and product.

Also-- good luck with the next sucker you throw on the mapping team.","As an educated female millennial, I felt that this was the most unwelcoming environment imaginable for young and passionate talent. I would have appreciated management giving me an unbiased and sincere attitude when approaching them about my concerns and unhappiness. It was clear my manager only cared about particular team members that had been around longer solely because he based an employees value on their collected knowledge of the team and product.

Also-- good luck with the next sucker you throw on the mapping team.","Sentiment(polarity=0.14743589743589744, subjectivity=0.43333333333333335)",0.0,0.0,neu
54,"pls invest in employee development and training, work culture needs a lot of improvement.","pls invest in employee development and training, work culture needs a lot of improvement.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
55,,nan,"Sentiment(polarity=0.0, subjectivity=0.0)",0.125,0.25,pos
56,Try to nurture younger employees by promoting them into higher positions.,Try to nurture younger employees by promoting them into higher positions.,"Sentiment(polarity=0.125, subjectivity=0.25)",0.0,0.1,neu
57,Create a system for promotions so employees can actually get a promotion without having to leave the company. Retention rates would skyrocket.,Create a system for promotions so employees can actually get a promotion without having to leave the company. Retention rates would skyrocket.,"Sentiment(polarity=0.0, subjectivity=0.1)",0.2872727272727273,0.4959090909090909,pos
58,"Keep maintaining the same atmosphere and work environment. The acquisition has brought many exciting, new changes and if we can incorporate these and still maintain the atmosphere that made me love working at SNL, we'll be all set.","Keep maintaining the same atmosphere and work environment. The acquisition has brought many exciting, new changes and if we can incorporate these and still maintain the atmosphere that made me love working at SNL, we'll be all set.","Sentiment(polarity=0.2872727272727273, subjectivity=0.4959090909090909)",1.0,0.9,pos
59,Keep your experienced workers!!!!!,Keep your experienced workers!!!!!,"Sentiment(polarity=1.0, subjectivity=0.9)",0.0,0.0,neu
60,diversify and give the emplo,diversify and give the emplo,"Sentiment(polarity=0.0, subjectivity=0.0)",0.05000000000000001,0.3333333333333333,pos
61,"SNL folks need to show that they do care about retaining current employees, although they assured this in town halls, you really don't see them care about people, all you've been asked to do is to follow their procedure and finish the integration. That is a job for robots, we people need motivation once in a while to feel involved in the long term picture","SNL folks need to show that they do care about retaining current employees, although they assured this in town halls, you really don't see them care about people, all you've been asked to do is to follow their procedure and finish the integration. That is a job for robots, we people need motivation once in a while to feel involved in the long term picture","Sentiment(polarity=0.05000000000000001, subjectivity=0.3333333333333333)",0.0,0.0,neu
62,Have a communication skills class given.,Have a communication skills class given.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7,0.6000000000000001,pos
63,Help IT members improve by offering certifications to those who have been with SNL for two years plus and have received good reviews.,Help IT members improve by offering certifications to those who have been with SNL for two years plus and have received good reviews.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.0,0.0,neu
64,"Reduce and simplify processes. Make people take end to end responsibilities, where developers talk to everyone all the way to product and sales.","Reduce and simplify processes. Make people take end to end responsibilities, where developers talk to everyone all the way to product and sales.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
65,Non existent.,Non existent.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
66,Pay your employees a competitive salary according to their experience.,Pay your employees a competitive salary according to their experience.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.875,0.6000000000000001,pos
67,Keep up the good work!,Keep up the good work!,"Sentiment(polarity=0.875, subjectivity=0.6000000000000001)",0.3181818181818182,0.4772727272727273,pos
68,Keep employees involved with new projects and faster works flows.  Moving projects more often can be helpful.,Keep employees involved with new projects and faster works flows.  Moving projects more often can be helpful.,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",-0.14583333333333334,0.2708333333333333,neg
69,Fire the local management and start over.  Encourage employees by showing that hard work is rewarded.  Don't allow drug use in the office.,Fire the local management and start over.  Encourage employees by showing that hard work is rewarded.  Don't allow drug use in the office.,"Sentiment(polarity=-0.14583333333333334, subjectivity=0.2708333333333333)",0.19999999999999996,0.55,pos
70,Ditch the forced distribution of performance ratings. Trust your management to fairly rate each employee,Ditch the forced distribution of performance ratings. Trust your management to fairly rate each employee,"Sentiment(polarity=0.19999999999999996, subjectivity=0.55)",0.0,0.0,neu
71,Promote from lower-levels!!,Promote from lower-levels!!,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5,0.5,pos
72,give better reviews,give better reviews,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,pos
73,eliminate acquiring too many companies,eliminate acquiring too many companies,"Sentiment(polarity=0.5, subjectivity=0.5)",0.0,0.0,neu
74,Stick with one direction and go with it.,Stick with one direction and go with it.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.16,0.5399999999999999,pos
75,Encourage and promote high performers faster,Encourage and promote high performers faster,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)",0.5333333333333333,0.6333333333333333,pos
76,"Create more opportunities for learning and advancement.
Management needs to be more transparent and honest.","Create more opportunities for learning and advancement.
Management needs to be more transparent and honest.","Sentiment(polarity=0.5333333333333333, subjectivity=0.6333333333333333)",0.16666666666666666,0.26666666666666666,pos
77,Create more opportunity for internal growth from low grade levels.,Create more opportunity for internal growth from low grade levels.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.26666666666666666)",0.3,0.44166666666666665,pos
78,"create clear strategy goals (1 year, 5 year etc) / identify top producers and promote / invest in training and company culture","create clear strategy goals (1 year, 5 year etc) / identify top producers and promote / invest in training and company culture","Sentiment(polarity=0.3, subjectivity=0.44166666666666665)",0.8,0.75,pos
79,Respect/appreciate your employees and they will provide great performance and effort.,Respect/appreciate your employees and they will provide great performance and effort.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.55,0.75,pos
80,give account managers more exposure to sales cycle/ shadow time with sales directors. Everyone is on their own island- not a lot of teamwork even thought there are teams in place.,give account managers more exposure to sales cycle/ shadow time with sales directors. Everyone is on their own island- not a lot of teamwork even thought there are teams in place.,"Sentiment(polarity=0.55, subjectivity=0.75)",-0.1952380952380952,0.565079365079365,neg
81,Stop allowing inexperienced managers to manage large groups of people - let them manage projects instead.  Also stop covering up bad business decisions by laying off talent since you cannot trust your managers to identify themselves as being the employees that need to be laid off.,Stop allowing inexperienced managers to manage large groups of people - let them manage projects instead.  Also stop covering up bad business decisions by laying off talent since you cannot trust your managers to identify themselves as being the employees that need to be laid off.,"Sentiment(polarity=-0.1952380952380952, subjectivity=0.565079365079365)",0.5,0.5,pos
82,More transparency to entry-level employees.,More transparency to entry-level employees.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.025000000000000005,0.19166666666666665,pos
83,Pick a strategy and stick with it. Too much changeover in upper levels due to strategy misfires.,Pick a strategy and stick with it. Too much changeover in upper levels due to strategy misfires.,"Sentiment(polarity=0.025000000000000005, subjectivity=0.19166666666666665)",0.15416666666666667,0.3333333333333333,pos
84,"Stop being hypocritical - lots of buzzwords that sound like major changes, but resistant to any actual progress","Stop being hypocritical - lots of buzzwords that sound like major changes, but resistant to any actual progress","Sentiment(polarity=0.15416666666666667, subjectivity=0.3333333333333333)",0.13636363636363635,0.45454545454545453,pos
85,Please resign and get some new management that understands capital markets,Please resign and get some new management that understands capital markets,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.0,1.0,neu
86,Improve upon the pros listed and eliminate where possible the cons mentioned.,Improve upon the pros listed and eliminate where possible the cons mentioned.,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,0.0,neu
87,keep it up!,keep it up!,"Sentiment(polarity=0.0, subjectivity=0.0)",0.17708333333333331,0.5,pos
88,"Try paying more if you want to retain a higher percent of employees. Also, tell the higher ups that day-long ""leadership training"" events are incredibly dull","Try paying more if you want to retain a higher percent of employees. Also, tell the higher ups that day-long ""leadership training"" events are incredibly dull","Sentiment(polarity=0.17708333333333331, subjectivity=0.5)",0.0,0.0,neu
89,Needs to maintain stability in terms of products and employee count,Needs to maintain stability in terms of products and employee count,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.09999999999999998,0.65,neg
90,"too many ""restructures"" will be disastrous","too many ""restructures"" will be disastrous","Sentiment(polarity=-0.09999999999999998, subjectivity=0.65)",0.20416666666666666,0.41666666666666663,pos
91,"Invest in your talent.   At one time this company was run by executives who worked their way through the ranks and had a personal interest in the long term success of the company, now you are lucky if someone stays for a full year!","Invest in your talent.   At one time this company was run by executives who worked their way through the ranks and had a personal interest in the long term success of the company, now you are lucky if someone stays for a full year!","Sentiment(polarity=0.20416666666666666, subjectivity=0.41666666666666663)",0.0,0.05,neu
92,"Take a step back and look at the big picture, instead of just profits, then maybe people will stay longer than 1-2 yrs at the company","Take a step back and look at the big picture, instead of just profits, then maybe people will stay longer than 1-2 yrs at the company","Sentiment(polarity=0.0, subjectivity=0.05)",0.16,0.27999999999999997,pos
93,Embrace the culture of old (CIQ). Eliminate much of the P&C control that stalls and delays innovation and be more open to using partners to maximize the value of the data and to allow 3rd parties to innovate with us.,Embrace the culture of old (CIQ). Eliminate much of the P&C control that stalls and delays innovation and be more open to using partners to maximize the value of the data and to allow 3rd parties to innovate with us.,"Sentiment(polarity=0.16, subjectivity=0.27999999999999997)",0.08285714285714285,0.26857142857142857,pos
94,"Back off, let people do their jobs, technology management needs the big ole heave ho.  Bring in young, smart people, instead of old school boys club cronies.","Back off, let people do their jobs, technology management needs the big ole heave ho.  Bring in young, smart people, instead of old school boys club cronies.","Sentiment(polarity=0.08285714285714285, subjectivity=0.26857142857142857)",0.0,0.0,neu
95,Hire a team/managers that have plans instead of wasting time.,Hire a team/managers that have plans instead of wasting time.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
96,HR team and the interviewing policies need to revamped.,HR team and the interviewing policies need to revamped.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
97,Lead by example,Lead by example,"Sentiment(polarity=0.0, subjectivity=0.0)",0.125,0.4583333333333333,pos
98,open up to other channels and listen more,open up to other channels and listen more,"Sentiment(polarity=0.125, subjectivity=0.4583333333333333)",-0.45572916666666674,0.5416666666666666,neg
99,"Execute the structural changes you know the business needs. Everything is in place to do that and while change is hard, opportunities like this don't occur often - seize the day!!","Execute the structural changes you know the business needs. Everything is in place to do that and while change is hard, opportunities like this don't occur often - seize the day!!","Sentiment(polarity=-0.45572916666666674, subjectivity=0.5416666666666666)",0.0,0.0,neu
100,Value employees to retain them longer in order to get well trained and knowledgeable people.,Value employees to retain them longer in order to get well trained and knowledgeable people.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5,0.5,pos
101,"Use better motivation tactics, not scare tactics","Use better motivation tactics, not scare tactics","Sentiment(polarity=0.5, subjectivity=0.5)",0.13,0.4477777777777778,pos
102,"Long walk, short pier - take a hike
The management culture of any company is set by the executive suite - and this place surely suffered as a result.  As was mentioned in a recently held meeting amongst the senior management: Lou is a capable sales man, and should have stayed in sales.....","Long walk, short pier - take a hike
The management culture of any company is set by the executive suite - and this place surely suffered as a result.  As was mentioned in a recently held meeting amongst the senior management: Lou is a capable sales man, and should have stayed in sales.....","Sentiment(polarity=0.13, subjectivity=0.4477777777777778)",-0.2,0.2,neg
103,"Allow employees to take some risks to grow the company.  Otherwise, it guarantees mediocrity and inhibits growth.","Allow employees to take some risks to grow the company.  Otherwise, it guarantees mediocrity and inhibits growth.","Sentiment(polarity=-0.2, subjectivity=0.2)",0.0,0.0,neu
104,Consider increasing compensation for teams that over perform.,Consider increasing compensation for teams that over perform.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.22142857142857145,0.2976190476190476,pos
105,"Make a better effort in recognizing that many of your long-standing employees actually ARE valuable, possess needed experience, clearly demonstrate loyalty, and really do add to the long term success of the company.","Make a better effort in recognizing that many of your long-standing employees actually ARE valuable, possess needed experience, clearly demonstrate loyalty, and really do add to the long term success of the company.","Sentiment(polarity=0.22142857142857145, subjectivity=0.2976190476190476)",0.0,0.0,neu
106,Company to create a career paths for people which can eliminate bias and conflicts.,Company to create a career paths for people which can eliminate bias and conflicts.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.1,neu
107,"streamline the senior management by paying closer attention to the actual work being done by the so-called ""directors"" and ""senior directors"".","streamline the senior management by paying closer attention to the actual work being done by the so-called ""directors"" and ""senior directors"".","Sentiment(polarity=0.0, subjectivity=0.1)",0.5,0.5,pos
108,Promote more within the company.,Promote more within the company.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.3,0.3,pos
109,"It's been 2 years since the re-org.  Stop ignoring the problems and writing them off as growing pains.  Instead, solicit feedback from all tiers of employees and take meaningful action to correct the issues.","It's been 2 years since the re-org.  Stop ignoring the problems and writing them off as growing pains.  Instead, solicit feedback from all tiers of employees and take meaningful action to correct the issues.","Sentiment(polarity=0.3, subjectivity=0.3)",0.0,0.0,neu
110,Read the reviews.  React.,Read the reviews.  React.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
111,Pay attention.,Pay attention.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.13636363636363635,0.45454545454545453,pos
112,Fire all and get a new management,Fire all and get a new management,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",-0.25,0.25,neg
113,Hire on merit for senior positions and not just based on past loyalties,Hire on merit for senior positions and not just based on past loyalties,"Sentiment(polarity=-0.25, subjectivity=0.25)",0.09,0.71,pos
114,Focus on ensuring there is a balanced scorecard on the key management team across all areas of the firm especially in areas where there is a greater than normal level of staff attrition.,Focus on ensuring there is a balanced scorecard on the key management team across all areas of the firm especially in areas where there is a greater than normal level of staff attrition.,"Sentiment(polarity=0.09, subjectivity=0.71)",-1.0,1.0,neg
115,Resign. You guys are so terrible it's helpless!,Resign. You guys are so terrible it's helpless!,"Sentiment(polarity=-1.0, subjectivity=1.0)",-0.016666666666666663,0.65,neg
116,"Clean house if someone is doing a poor job.  Entitlement, and seniority should be cut off at inception.","Clean house if someone is doing a poor job.  Entitlement, and seniority should be cut off at inception.","Sentiment(polarity=-0.016666666666666663, subjectivity=0.65)",0.27499999999999997,0.30000000000000004,pos
