,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
15,16,2,Casual atmosphere - jeans and t-shirts are permitted. Very intelligent co-workers. Interesting work.,3,Casual atmosphere - jeans and t-shirts are permitted. Very intelligent co-workers. Interesting work.,casual atmosphere jeans and t shirts are permitted very intelligent co workers interesting work ,
16,17,2,- 4 weeks paid vacation plus 10 sick days - very smart people,5,- weeks paid vacation plus sick days - very smart people, weeks paid vacation plus sick days very smart people,"smart, people"
17,18,2,Great structure and a high amount of communication between all levels.,5,Great structure and a high amount of communication between all levels.,great structure and a high amount of communication between all levels ,
18,19,2,"* Learn directly how the backoffice IT systems of financial companies work. * Learn indirectly how financial risk management software works. * Work with people from around the world, in your office as well as the other offices around the world. * Decent salary and benefits.",2,"* Learn directly how the backoffice IT systems of financial companies work. * Learn indirectly how financial risk management software works. * Work with people from around the world, in your office as well as the other offices around the world. * Decent salary and benefits.", learn directly how the backoffice it systems of financial companies work learn indirectly how financial risk management software works work with people from around the world in your office as well as the other offices around the world decent salary and benefits ,"salary, management, people"
19,20,2,"- Great equity index business. Index products are highly respected in the investment management industry and MSCI generates impressive margins. Check out their investor relations site and you know what I mean. A very profitable business means that, in pri",2,"- Great equity index business. Index products are highly respected in the investment management industry and MSCI generates impressive margins. Check out their investor relations site and you know what I mean. A very profitable business means that, in pri", great equity index business index products are highly respected in the investment management industry and msci generates impressive margins check out their investor relations site and you know what i mean a very profitable business means that in pri,management
20,21,3,Riskmetrics Group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work. I have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments.,3,Riskmetrics Group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work. I have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments.,riskmetrics group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work i have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments ,company
21,22,3,"Senior management is keen on cost cutting. If you are working in emerging markets, e.g. india, china. The center you are working at still have opportunity to grow. Your promotion ladder is still there. In general, Work/Life balance is good. However, it also depends on which team you join, and which leader you report to.",2,"Senior management is keen on cost cutting. If you are working in emerging markets, e.g. india, china. The center you are working at still have opportunity to grow. Your promotion ladder is still there. In general, Work/Life balance is good. However, it also depends on which team you join, and which leader you report to.",senior management is keen on cost cutting if you are working in emerging markets e g india china the center you are working at still have opportunity to grow your promotion ladder is still there in general work life balance is good however it also depends on which team you join and which leader you report to ,"balance, management, working"
22,23,3,"Intelligent people. Collegiate, challenging environment. Interesting client base.",3,"Intelligent people. Collegiate, challenging environment. Interesting client base.",intelligent people collegiate challenging environment interesting client base ,
23,24,3,- Relaxed and open atmosphere - Smart and motivated colleagues - Great for software developers wanting to build ambitious systems,2,- Relaxed and open atmosphere - Smart and motivated colleagues - Great for software developers wanting to build ambitious systems, relaxed and open atmosphere smart and motivated colleagues great for software developers wanting to build ambitious systems,
24,25,3,access to senior management growth opportunities if in it for the long run fast growing company morgan stanley background,5,access to senior management growth opportunities if in it for the long run fast growing company morgan stanley background,access to senior management growth opportunities if in it for the long run fast growing company morgan stanley background,"senior, management, company, fast"
25,26,3,- casual dress code; - ability to telecommute; - app. 20 days of annual leave;,3,- casual dress code; - ability to telecommute; - app. days of annual leave;, casual dress code ability to telecommute app days of annual leave ,
26,27,3,The opp to interact with very smart people,5,The opp to interact with very smart people,the opp to interact with very smart people,"smart, people"
27,28,3,"MSCI Barra has wonderful products, talented people, and a great client list. You will learn a lot.",5,"MSCI Barra has wonderful products, talented people, and a great client list. You will learn a lot.",msci barra has wonderful products talented people and a great client list you will learn a lot ,"talented, great"
28,29,3,Great global footprint. Smart people in all departments and at all levels. Strong strategic focus. People who know how to deliver strong results.,2,Great global footprint. Smart people in all departments and at all levels. Strong strategic focus. People who know how to deliver strong results.,great global footprint smart people in all departments and at all levels strong strategic focus people who know how to deliver strong results ,people
29,30,3,Network with clients (potential employesrs) Simple business model (either Risk or Indices) Good office locations Basic salary is competitive (but bonus poor),2,Network with clients (potential employesrs) Simple business model (either Risk or Indices) Good office locations Basic salary is competitive (but bonus poor),network with clients potential employesrs simple business model either risk or indices good office locations basic salary is competitive but bonus poor ,salary
30,31,4,"Small company environment, with opportunities to excel with hardwork.",3,"Small company environment, with opportunities to excel with hardwork.",small company environment with opportunities to excel with hardwork ,company
31,32,4,"good work life balance, friendly people, good reputation in the risk management industry, pretty good pay and compensation, good management, relaxed culture",2,"good work life balance, friendly people, good reputation in the risk management industry, pretty good pay and compensation, good management, relaxed culture",good work life balance friendly people good reputation in the risk management industry pretty good pay and compensation good management relaxed culture,"friendly, culture, management, pay, work"
32,33,4,"Great Culture, Smart people who are approachable, mutual respect. Not Bureaucratic.",3,"Great Culture, Smart people who are approachable, mutual respect. Not Bureaucratic.",great culture smart people who are approachable mutual respect not bureaucratic ,people
33,34,4,"I work at RMG because of the people, culture, growth (personal & professional) and opportunities. I know I could make more money elsewhere but I'm doing what I love with people I really like. One of the cool things is that RiskMetrics encourages us to focus on our strengths to guide our careers.",2,"I work at RMG because of the people, culture, growth (personal & professional) and opportunities. I know I could make more money elsewhere but I'm doing what I love with people I really like. One of the cool things is that RiskMetrics encourages us to focus on our strengths to guide our careers.",i work at rmg because of the people culture growth personal professional and opportunities i know i could make more money elsewhere but i m doing what i love with people i really like one of the cool things is that riskmetrics encourages us to focus on our strengths to guide our careers ,"work, people"
34,35,4,"challenging environment; friendly, intellectually curious and knowledgable coworkers; family-friendly company; feedback is respected by management",5,"challenging environment; friendly, intellectually curious and knowledgable coworkers; family-friendly company; feedback is respected by management",challenging environment friendly intellectually curious and knowledgable coworkers family friendly company feedback is respected by management,management
35,36,4,Relaxed environment. Good hours Family-centric Non-manager are nice people,3,Relaxed environment. Good hours Family-centric Non-manager are nice people,relaxed environment good hours family centric non manager are nice people,"hours, people"
36,37,4,Great people and the chance to work with global offices Decent pay and decent benefit Opportunities for transferring to different locations,5,Great people and the chance to work with global offices Decent pay and decent benefit Opportunities for transferring to different locations,great people and the chance to work with global offices decent pay and decent benefit opportunities for transferring to different locations,"work, pay, people"
37,38,4,"There's flexibility at work, people are smart, projects are challenging, Work place and environment is fun, overall comensation is satisfactory",5,"There's flexibility at work, people are smart, projects are challenging, Work place and environment is fun, overall comensation is satisfactory",there s flexibility at work people are smart projects are challenging work place and environment is fun overall comensation is satisfactory,"environment, place, people"
38,39,4,(true)RiskMetrics people is probably the biggest reason you would work for RiskMetrics. You will learn a lot from lots of smart people who are willing to share what they know.,2,(true)RiskMetrics people is probably the biggest reason you would work for RiskMetrics. You will learn a lot from lots of smart people who are willing to share what they know., true riskmetrics people is probably the biggest reason you would work for riskmetrics you will learn a lot from lots of smart people who are willing to share what they know ,"smart, work, people"
39,40,4,It's good to learn the Barra models if you are interested in the risk management analytics since the Barra methodology and products are industry leaders; good flexibility in term of days off and personal leaves; most people are hard working and competent,2,It's good to learn the Barra models if you are interested in the risk management analytics since the Barra methodology and products are industry leaders; good flexibility in term of days off and personal leaves; most people are hard working and competent,it s good to learn the barra models if you are interested in the risk management analytics since the barra methodology and products are industry leaders good flexibility in term of days off and personal leaves most people are hard working and competent,"management, people, working"
40,41,5,Good work and life balance Nice people,3,Good work and life balance Nice people,good work and life balance nice people,"work, balance, people"
41,42,5,Fairness and kindness atmosphere as well as open working space. People here respect each other no matter they are senior or entry level.,2,Fairness and kindness atmosphere as well as open working space. People here respect each other no matter they are senior or entry level.,fairness and kindness atmosphere as well as open working space people here respect each other no matter they are senior or entry level ,"senior, working"
42,43,5,Dirección buena y competente en general. Buen equilibrio entre el trabajo y la vida privada. Buena comunicación en la empresa. La presión no es tan alta como la de sus compañeros. Ambiente divertido y en general un lugar relajado para trabajar. Bajo índice de rotación de personal,3,Dirección buena y competente en general. Buen equilibrio entre el trabajo y la vida privada. Buena comunicación en la empresa. La presión no es tan alta como la de sus compañeros. Ambiente divertido y en general un lugar relajado para trabajar. Bajo índice de rotación de personal,dirección buena y competente en general buen equilibrio entre el trabajo y la vida privada buena comunicación en la empresa la presión no es tan alta como la de sus compañeros ambiente divertido y en general un lugar relajado para trabajar bajo índice de rotación de personal,
43,44,5,"RiskMetrics culture is one that allows employees to develop through collaboration with other teams. There is no division between groups, but more of a group effort to deliver a product. All offices have an open office layout, making management of all levels completely accessible.",2,"RiskMetrics culture is one that allows employees to develop through collaboration with other teams. There is no division between groups, but more of a group effort to deliver a product. All offices have an open office layout, making management of all levels completely accessible.",riskmetrics culture is one that allows employees to develop through collaboration with other teams there is no division between groups but more of a group effort to deliver a product all offices have an open office layout making management of all levels completely accessible ,"culture, management"
44,45,5,"Good benefits, fairly base salary. Good environment.",5,"Good benefits, fairly base salary. Good environment.",good benefits fairly base salary good environment ,
45,46,5,"Great people, great atmosphere (for now), ability to work on projects not related to your area of expertise.",3,"Great people, great atmosphere (for now), ability to work on projects not related to your area of expertise.",great people great atmosphere for now ability to work on projects not related to your area of expertise ,"work, great"
46,47,5,"RiskMetrics was a fun place to work. Open collaboration between groups from the CEO to Fianance to Managers to Sales, etc. Everyone has a say and managers listen.",5,"RiskMetrics was a fun place to work. Open collaboration between groups from the CEO to Fianance to Managers to Sales, etc. Everyone has a say and managers listen.",riskmetrics was a fun place to work open collaboration between groups from the ceo to fianance to managers to sales etc everyone has a say and managers listen ,place
47,48,5,"Name Recognition Big Footprint The work is sometimes interesting, challenging, and engaging. Lower level staff is intelligent, generous, and kind.",5,"Name Recognition Big Footprint The work is sometimes interesting, challenging, and engaging. Lower level staff is intelligent, generous, and kind.",name recognition big footprint the work is sometimes interesting challenging and engaging lower level staff is intelligent generous and kind ,work
48,49,5,"The people are extremely smart, dedicated, curious, and humble and relaxed. That is changing with MSCI merger, but that legacy won't die too easily. You are given the opportunity to run with your ideas. Th culture is flat, and fun and relaxed, even thought it's Wall St.",2,"The people are extremely smart, dedicated, curious, and humble and relaxed. That is changing with MSCI merger, but that legacy won't die too easily. You are given the opportunity to run with your ideas. Th culture is flat, and fun and relaxed, even thought it's Wall St.",the people are extremely smart dedicated curious and humble and relaxed that is changing with msci merger but that legacy won t die too easily you are given the opportunity to run with your ideas th culture is flat and fun and relaxed even thought it s wall st ,"culture, people"
49,50,5,RiskMetrics has a very diverse group of employees from different cultural and professional background which makes for interesting conversations and interactions.,2,RiskMetrics has a very diverse group of employees from different cultural and professional background which makes for interesting conversations and interactions.,riskmetrics has a very diverse group of employees from different cultural and professional background which makes for interesting conversations and interactions ,
50,51,6,Still working with some of my friends who are smart and still make it a somewhat fun environment,3,Still working with some of my friends who are smart and still make it a somewhat fun environment,still working with some of my friends who are smart and still make it a somewhat fun environment,"smart, environment, working"
51,52,6,"great team, good and learned people around and a very collaborative environment",2,"great team, good and learned people around and a very collaborative environment",great team good and learned people around and a very collaborative environment,"great, environment, people"
52,53,6,Plenty of vacation days. Ability to network with clients and issuers (read: potential employers). Interesting co-workers.,3,Plenty of vacation days. Ability to network with clients and issuers (read: potential employers). Interesting co-workers.,plenty of vacation days ability to network with clients and issuers read potential employers interesting co workers ,
53,54,6,"if you wanna be professional, this is a good place to learn.",2,"if you wanna be professional, this is a good place to learn.",if you wanna be professional this is a good place to learn ,place
54,55,6,They pay very well. Many people do not have enough to do. Benefit policies are good. It is a company that makes money.,5,They pay very well. Many people do not have enough to do. Benefit policies are good. It is a company that makes money.,they pay very well many people do not have enough to do benefit policies are good it is a company that makes money ,"company, pay, people"
55,56,6,"treat people relatively fairly, small but truely global; indexing business is well positioned to further grow quickly, many smart people around",3,"treat people relatively fairly, small but truely global; indexing business is well positioned to further grow quickly, many smart people around",treat people relatively fairly small but truely global indexing business is well positioned to further grow quickly many smart people around,"smart, people"
56,57,6,"Good pay, intelligent people, plenty of exciting projects and work, heaps of potential.",5,"Good pay, intelligent people, plenty of exciting projects and work, heaps of potential.",good pay intelligent people plenty of exciting projects and work heaps of potential ,
57,58,6,you get a salary at the end of the month you get health insurance. may be there are the best reasons? if you have a good manager you will have a decent employee life if not then too bad.,5,you get a salary at the end of the month you get health insurance. may be there are the best reasons? if you have a good manager you will have a decent employee life if not then too bad.,you get a salary at the end of the month you get health insurance may be there are the best reasons if you have a good manager you will have a decent employee life if not then too bad ,"salary, health"
58,59,6,Good company culture and many talented people. One of the leaders in the index and risk analytics service provider in the market.,2,Good company culture and many talented people. One of the leaders in the index and risk analytics service provider in the market.,good company culture and many talented people one of the leaders in the index and risk analytics service provider in the market ,"culture, talented, company"
59,60,6,great work-life balance & flextime great colleagues ambitious firm-- focuses on exciting growth areas and apparently willing to invest in those businesses CEO is energetic and candid global presence,2,great work-life balance & flextime great colleagues ambitious firm-- focuses on exciting growth areas and apparently willing to invest in those businesses CEO is energetic and candid global presence,great work life balance flextime great colleagues ambitious firm focuses on exciting growth areas and apparently willing to invest in those businesses ceo is energetic and candid global presence,"balance, great"
60,61,7,ability to work from home. flex hours. nice + friendly colleagues.,3,ability to work from home. flex hours. nice + friendly colleagues.,ability to work from home flex hours nice friendly colleagues ,"work, friendly"
61,62,7,4 weeks paid vacation flexibility to telecommute when needed good work/life balance work can be challenging opportunity to work with smart people,2, weeks paid vacation flexibility to telecommute when needed good work/life balance work can be challenging opportunity to work with smart people, weeks paid vacation flexibility to telecommute when needed good work life balance work can be challenging opportunity to work with smart people,"smart, work, balance, people"
62,63,7,"- Generally, your office mates are good people. - It's a job... In today's job market, that's saying something. - Unfortunately, there isn't much else positive to say about the company.",3,"- Generally, your office mates are good people. - It's a job... In today's job market, that's saying something. - Unfortunately, there isn't much else positive to say about the company.", generally your office mates are good people it s a job in today s job market that s saying something unfortunately there isn t much else positive to say about the company ,
63,64,7,"Global office presence. Strong brand in Indices and Risk. In general nice people, talented people will not stay for long.",2,"Global office presence. Strong brand in Indices and Risk. In general nice people, talented people will not stay for long.",global office presence strong brand in indices and risk in general nice people talented people will not stay for long ,"talented, people"
64,65,7,MSCI is a challenging place to work at and is growing. It is poised to become a world leader in risk management products.,5,MSCI is a challenging place to work at and is growing. It is poised to become a world leader in risk management products.,msci is a challenging place to work at and is growing it is poised to become a world leader in risk management products ,"work, management, place"
65,66,7,"Great People, very talented. Great office",3,"Great People, very talented. Great office",great people very talented great office,
66,67,7,Access to Franchise Risk Models and Software used professionaly in Asset management.. Collegiate environement. Develop knowledge of requirements for supporting Financial Quant Research. Starting Entry level salary good with decent benefit package. It had franchise value on the resume but not so much anymore.,5,Access to Franchise Risk Models and Software used professionaly in Asset management.. Collegiate environement. Develop knowledge of requirements for supporting Financial Quant Research. Starting Entry level salary good with decent benefit package. It had franchise value on the resume but not so much anymore.,access to franchise risk models and software used professionaly in asset management collegiate environement develop knowledge of requirements for supporting financial quant research starting entry level salary good with decent benefit package it had franchise value on the resume but not so much anymore ,salary
67,68,7,"Good place for an early career professional to pick up skills and get exposure in a brand name global company Very intense, fast pace work that teaches you to think on your feet The opportunity to work with some very hard working, dedicated people",5,"Good place for an early career professional to pick up skills and get exposure in a brand name global company Very intense, fast pace work that teaches you to think on your feet The opportunity to work with some very hard working, dedicated people",good place for an early career professional to pick up skills and get exposure in a brand name global company very intense fast pace work that teaches you to think on your feet the opportunity to work with some very hard working dedicated people,"place, company, people, fast, work"
68,69,7,"MSCI pays well to those who do exactly what they are told. If you are happy with well defined job, where you invest your energy energy into obeying those above you, MSCI will treat you well.",2,"MSCI pays well to those who do exactly what they are told. If you are happy with well defined job, where you invest your energy energy into obeying those above you, MSCI will treat you well.",msci pays well to those who do exactly what they are told if you are happy with well defined job where you invest your energy energy into obeying those above you msci will treat you well ,
69,70,7,You can learn a lot in MSCI. The diversity of the workshop is also good. You work with people from different countries and cultures in MSCI.,2,You can learn a lot in MSCI. The diversity of the workshop is also good. You work with people from different countries and cultures in MSCI.,you can learn a lot in msci the diversity of the workshop is also good you work with people from different countries and cultures in msci ,"work, people"
70,71,8,Salary and benefits package were pretty good. Co-workers were very helpful and liked to share knowledge.,3,Salary and benefits package were pretty good. Co-workers were very helpful and liked to share knowledge.,salary and benefits package were pretty good co workers were very helpful and liked to share knowledge ,benefits
71,72,8,Environnement de travail international Industrie solide Potentiel de développement,2,Environnement de travail international Industrie solide Potentiel de développement,environnement de travail international industrie solide potentiel de développement,
72,73,8,"Work life balance, freedom to explore other areas, generous vacation, good benefits, offices in downtown new york, reasonable working hours.",3,"Work life balance, freedom to explore other areas, generous vacation, good benefits, offices in downtown new york, reasonable working hours.",work life balance freedom to explore other areas generous vacation good benefits offices in downtown new york reasonable working hours ,working
73,74,8,"Fair work/life balance at lower levels, though I understand more senior levels have less flexibility. Collegial with fellow analysts, systems that provide for some efficiencies of scale. Opportunity for my work product to have some vast impacts on products.",2,"Fair work/life balance at lower levels, though I understand more senior levels have less flexibility. Collegial with fellow analysts, systems that provide for some efficiencies of scale. Opportunity for my work product to have some vast impacts on products.",fair work life balance at lower levels though i understand more senior levels have less flexibility collegial with fellow analysts systems that provide for some efficiencies of scale opportunity for my work product to have some vast impacts on products ,"senior, work, balance"
74,75,8,"I think the best thing is the compensation however if you compare the load of task and compensation, you will see that it is not good.",5,"I think the best thing is the compensation however if you compare the load of task and compensation, you will see that it is not good.",i think the best thing is the compensation however if you compare the load of task and compensation you will see that it is not good ,compensation
75,76,8,Great financial serives company with a great brand,3,Great financial serives company with a great brand,great financial serives company with a great brand,"great, company"
76,77,8,"Compensation, Work culture, People, Overall aptitude of the technical team",5,"Compensation, Work culture, People, Overall aptitude of the technical team",compensation work culture people overall aptitude of the technical team,
77,78,8,Benefits package Flexibility at times Opportunity to learn the financial services industry Compensation Bonuses (a good bonus if it's been a profitable year),5,Benefits package Flexibility at times Opportunity to learn the financial services industry Compensation Bonuses (a good bonus if it's been a profitable year),benefits package flexibility at times opportunity to learn the financial services industry compensation bonuses a good bonus if it s been a profitable year ,
78,79,8,"It still have a reputation in the industry, a well-known firm",2,"It still have a reputation in the industry, a well-known firm",it still have a reputation in the industry a well known firm,
79,80,8,Good brand and work experience. Nice people to work with. Good salary which is comparable to the industry and good benefits.,2,Good brand and work experience. Nice people to work with. Good salary which is comparable to the industry and good benefits.,good brand and work experience nice people to work with good salary which is comparable to the industry and good benefits ,"work, salary, people"
80,81,9,Adequate vacation time to help you forget how miserable your job is.,3,Adequate vacation time to help you forget how miserable your job is.,adequate vacation time to help you forget how miserable your job is ,
81,82,9,"MSCI is a high growth, execution focused firm. A very positive experience for those who can work hard and achieve something over time. Collegues at MSCI are smart, hard working, motivated and talented individuals.",2,"MSCI is a high growth, execution focused firm. A very positive experience for those who can work hard and achieve something over time. Collegues at MSCI are smart, hard working, motivated and talented individuals.",msci is a high growth execution focused firm a very positive experience for those who can work hard and achieve something over time collegues at msci are smart hard working motivated and talented individuals ,"work, talented"
82,83,9,"Smart, talented, and hard working colleagues Strong platform of products and well positioned to continue growth Products add value and bring transparency into the investment process",3,"Smart, talented, and hard working colleagues Strong platform of products and well positioned to continue growth Products add value and bring transparency into the investment process",smart talented and hard working colleagues strong platform of products and well positioned to continue growth products add value and bring transparency into the investment process,working
83,84,9,"Good brand, decent at work life balance, plenty of holidays,",2,"Good brand, decent at work life balance, plenty of holidays,",good brand decent at work life balance plenty of holidays ,work
84,85,9,"The benefits are good, with a solid retirement contribution match. Also, everyone gets 4 weeks of vacation (though that is a negative for those working there for many years).",5,"The benefits are good, with a solid retirement contribution match. Also, everyone gets weeks of vacation (though that is a negative for those working there for many years).",the benefits are good with a solid retirement contribution match also everyone gets weeks of vacation though that is a negative for those working there for many years ,"benefits, working"
85,86,9,"The employees in many of the departments are good people and are a joy to work with, but this excludes nearly all management.",3,"The employees in many of the departments are good people and are a joy to work with, but this excludes nearly all management.",the employees in many of the departments are good people and are a joy to work with but this excludes nearly all management ,"work, people"
86,87,9,"Pleasant team, mostly challenging problems.",5,"Pleasant team, mostly challenging problems.",pleasant team mostly challenging problems ,
87,88,9,"The people I worked with, from many different offices globally, were all absolutely wonderful. I can't say enough about the great people I had the privilege of working with each day. 4 weeks vacation (although not great if you have been there a long time) 401 (k) matching is good, although its too ironic for words that they are promoting ESG/have an ESG division and do not offer a ESG OPTION for the 401(k).... Very disappointing and disingenuous. There are also no real internal ESG policies or programs. Opportunities to take on significant responsibility, which gives you great experience and keeps you growing professionally (although there is no, and I mean no, financial compensation tied to taking on more responsibility. So if you do, please note that this is for your own growth and to build your resume.).",5,"The people I worked with, from many different offices globally, were all absolutely wonderful. I can't say enough about the great people I had the privilege of working with each day. weeks vacation (although not great if you have been there a long time) (k) matching is good, although its too ironic for words that they are promoting ESG/have an ESG division and do not offer a ESG OPTION for the (k).... Very disappointing and disingenuous. There are also no real internal ESG policies or programs. Opportunities to take on significant responsibility, which gives you great experience and keeps you growing professionally (although there is no, and I mean no, financial compensation tied to taking on more responsibility. So if you do, please note that this is for your own growth and to build your resume.).",the people i worked with from many different offices globally were all absolutely wonderful i can t say enough about the great people i had the privilege of working with each day weeks vacation although not great if you have been there a long time k matching is good although its too ironic for words that they are promoting esg have an esg division and do not offer a esg option for the k very disappointing and disingenuous there are also no real internal esg policies or programs opportunities to take on significant responsibility which gives you great experience and keeps you growing professionally although there is no and i mean no financial compensation tied to taking on more responsibility so if you do please note that this is for your own growth and to build your resume ,"great, compensation, people, working"
88,89,9,The work life balance is pretty good since I was not micromanaged and could come and go as I wanted.,2,The work life balance is pretty good since I was not micromanaged and could come and go as I wanted.,the work life balance is pretty good since i was not micromanaged and could come and go as i wanted ,"work, balance"
89,90,9,"- Wages above average, if you don’t count the 30+% overtime you will be asked to put on it - Decent year-end bonuses - Offices are usually in prime locations in the financial capitals (although relocation and travels are discouraged) - Attractive he",2,"- Wages above average, if you don’t count the +% overtime you will be asked to put on it - Decent year-end bonuses - Offices are usually in prime locations in the financial capitals (although relocation and travels are discouraged) - Attractive he", wages above average if you don t count the overtime you will be asked to put on it decent year end bonuses offices are usually in prime locations in the financial capitals although relocation and travels are discouraged attractive he,
90,91,10,Very good benefits and 401k company match.,3,Very good benefits and k company match.,very good benefits and k company match ,"benefits, company"
