"","x"
"20","If you have absolutely no other choice. If McDonald's will not offer you a job.  This place gives you free food and free prescription. They have a nurse that works there all the time.  You have to wonder why they would need a full-time nurse."
"21","- Excellent health and vacation benefits.
- Solid exposure to the financial markets.
- More responsibility is quickly entrusted to those willing to undertake it..
- Free snacks
- Offices are located in almost every major financial district in the world and are often elaborately decorated.
- Truly global operations."
"22","Very open environment. Very good place to start a career in finance especially when you dont have background in financial industry."
"23","The atmosphere is fast paced, the salary is decent as are the bonuses (at least so far), communication channels are fairly clear compared to many other places I've worked. I've seen some complaints about programmer notes in some of the other posts, but at least there are systems for tracking issues, projects and work completed--I've worked in many places outside the finance industry where things aren't nearly as... clear-cut. 

Many of the Plan B changes appear to be intended for improving retention, especially for employees with families. Bloomberg used to be notorious for requiring ""face time"" from employees; having the option to work at home for a day when kids are sick makes life a lot easier."
"24","The company offers competitive pay, and a great benefits package that is better than investment banks.
There is free food.
The people working there are friendly, smart, and generally easy going compared to people at investment banks.
More job security than investment banks.
Fast paced work environment and some very interesting work.
Ability and talent, not seniority, are recognized and rewarded.
Training... program for new grads."
"25","The compensation and the transparency are the best reasons for one to work for Bloomberg L.P."
"26","good benefits, smart people around, and people like to present great ideas"
"27","Pays well, Good work-life balance, Fast-paced work, everyone gets a lot of responsibility, the ability to quickly see the impact of your work"
"28","Pay and Benefits are very good. Job stability at Bloomberg is very good. The company encourages employees to volunteer with various charities."
"29","Good compensation, especially the benefits and paid time off.
Some really smart people as peers."
"30","Bloomberg as a work place has not had the best reputation in the past but a lot of that has changed. It is a very open kind of place which some people like and some do not."
"31","- Great benefits
- Good compensation
- Casual work environment
- Market leader
- Good place to coast your career if you just want a stable job
- No layoffs...yet"
"32","Free entrance to museums in New York City! Thanks, Mayor Mike!"
"33","Early responsobalities, you get in touch with clients very quickly and if you proove them you can handle hard job and responsabilities they give them to you.  You don t have to be lazy or average otherwise you will be treated as average."
"34","The people without a doubt - as with any office you find people that you just don't have much in common with, or particularly like. But the employees are so diverse you can't really go wrong - you'll always meet a bunch of people you become great friends with"
"35","Solid, reliable product; great sales and marketing tools; excellent people to work with"
"36","Good company culture, there are a lot of senior level people who invest in you and want to see you succeed.. I was there as a summer intern in 2008, and the pay was great, another sign that they are interested in you. The building is also extremely cool, and new age. There are several stocked pantries that provide free food, coffee, and soft drinks."
"37","Compensation, Benefits,Good Medical Insurance, 401K Match, Bonus"
"38","Good People. The people are young, vibrant and outgoing. There is free food. Very transparent company. Class participation is part of the grade.  There are many ways to do this, including coming to class, raising questions in class, joining in class discussions and responding to questions raised during class.  Attendance is not explicitly recorded for the class or the section, but it constitutes a crucial learning... experience for the class.
In class discussions, our collective goal will be to unravel the facts of the case and explore a variety of reasonable approaches and solutions.  Grades are assigned on the basis of class participation that contributes to this process.  Emphasis is not on the duration of your “air time” or on getting the “right” solution (typically, there is no “right” solution).  Rather, I will be looking for summaries of case facts, well reasoned view points, constructive questions, or other relevant insights that enrich the discussion.  Please note that during class"
"39","The work place environment is great, T.V. monitor everywhere, glass meeting rooms, expensive desk and chairs, locations in top financial districts. Culture at Bloomberg is very interesting as well with colors and art. Also I have grown to love the perks with the food and beverages."
"40","Great building, competitive salary, excellent benefits package, multi-cultural environment. If you are fresh from college, have no work experience, or would like to find someone to date, an excellent place to work! Unlikely to get fired for any reason. Free food. Really high turnover, so you may get a sales job even if you were a programmer."
"41","Snacks, good time off, no fixed ill days, good training program, no formals wear required like some other companies,inception of new technology."
"42","Benefits are among the best you will find anywhere.  They have just finished watering bonuses down to average levels, however."
"43","Pleasant work environment, socially open co-workers, great benefits and compensation, awesome parties. Worked as a programmer for 10 years, 3 at BB, best place I have ever worked so far."
"44","- Decent Benefits
- Good compensation
- Market leader
- Stable job
- No layoffs"
"45","The pantries are nice, although the majority of the food is basically vending machine fare. The building is constructed entirely with glass walls which is either cool or utterly fascist depending on cynical you are. Working on Solaris 10 and C++ -- and IF YOU GET INTO THE RIGHT GROUP (not GTEC, ADSK, or GSUS), you'll definitely improve your chops. Interesting mix of technologies. Lots of hot women, although chances... are none will actually date you."
"46","Good place to start off a career.  They provide plenty of perks for employees to make them feel appreciated.  They were patrons of the arts and community service, which is quite unique within the finance industry."
"47","good benefits, opportunity to travel and use languages, good to learn about finance if you do not come from a finance background, reasonable hours,"
"48","Fun and bright environment, interesting pantry setup to foster communication and ""innovation""?! Open offie to simulate banking experience, flat hierarchy (too flat)."
"49","Good company to work for if you are in the right department.
Lot's of young and good looking women.
A playground if you are single."
"50","Pay is extremely good -- twice what anybody else is offering."
"51","It's a fun company to work at although the work can be a drag, the entry-level positions aren't that great so you have to work hard at distinguishing yourself.  Network heavily and step up, make your own career."
"52","overall they offer a good salary  + benefits package with pretty challenging work . you get to work with very smart colleagues so there is a lot you can learn . they also give you a lot of responsibility form the beginning"
"53","acceptable compensation, which is the only reason why work at Bloomberg"
"54","Most people are ready to help navigate the complex jungle that Bloomberg is. Perks are out of the world, they know how to look after employees."
"55","Compensation and benefits are good, brand  is good."
"56","Living stipend. flexible hours. Name of the firm on your resume. very set up and structured program if you desire clear career path and stability."
"57","Culture - no titles on business card, no offices, flat organization structure, high philanthropic interests, continuous opportunities for training, first hand access to breaking news"
"58","New York City. Great pay, and great benefits. 4 weeks of vacation time. Exposure to more than just plain old software. Free food (somewhat). Some great people work there (as well as some not so great)."
"59","Work Environment
Access to technology
Good contact with clients"
"60","Snacks, good time off, no fixed ill days, good training program, no formals wear required like some other companies,inception of new technology."
"61","good benefits, doesn't fire many people during crisis, resilient to financial downturns, useful training, great young environment, perfect place to meet new people"
"62","Highly successful company/Possibility to communicate/interact with everything from CEO to others in top management. Friendly colleagues. Interesting product. nice summer party."
"63","Constantly in touch with the market and different market players from both the buy and sell side, giving you a great insight into different aspects of the industry."
"64","Compensation is decent, the company offers nice benefits, the building is impressive and great to show off to others, free snacks are a great perk"
"65","Great culture and very different from similar employers. Management is approachable, as everyone in the company. You could make a career internally, if you like it. Good exposure to the markets"
"66","Fairly good pay and benefits, but it would have to be in NYC
4 weeks vacation
Learning the Bloomberg terminal and APIs could help you find a good job someday"
"67","The pro is the people  you get to work with.  Clients make the work enjoyable and coworkers also.
Like every other work place, there are good  and bad managers."
"68","There are some very smart and capable people that you can learn from. A lot of information is open and available if you know where to look. Snacks, summer parties, social events. Good benefits."
"69","A chance to work in New York City
Looks good on your resume
Meritocracy - so if you do the work, you get the rewards"
"70","Bloomberg is good for the first year junior hire.  They hire a lots of fresh students every year and the pay is not bad."
"71","The health and benefit package was very good (you don't pay for health insurance). The free food pantries was great but you gain alot of weight on it."
"72","Fast paced challenging dynamic environment, opportunities to learn, good money, bonus, performance rewards, good growth path, job satisfaction, good location"
"73","Smart people to work with.
Fabulous working environment.
Corporate culture encourages open discussion and innovation.
Less hierachy between analysts and managers."
"74","Use of Bloomberg Terminal, Intellectual colleagues and improving excel skills"
"75","- sane working hours and good work life balance
- dynamic environment
- a meritocracy in terms of promotions and compensation
- cooperative colleagues willing to share knowledge
- sense of professionalism and transparency"
"76","Very talented employees, best and brightest sharing ideas and solving extremely challenging technical issues.  Fast pace and opportuntiy to move into new groups if top performer."
"77","- junior hires given good load of responsibilities
- salary and bonuses are good
- free snacks (better than microsoft, worse than google)
- satisfied customers (having worked at other companies, the high level of customer satisfaction is abnormal and deeply rewarding).
- new york city is much more fun than san francisco, boston, or seattle, but that's just my opinion ;)."
"78","Decent pay, the opportunity to interact with various market players, some training opportunities, bright colleagues, good vacation time, cool office"
"79","Fantastic brand and market reputation. Dynamic company with deep pockets able to effect changes in personnel and product at short notice. Great office facilities, attractive work colleagues."
"80","Company name on the CV
Some financial market training
Nice and overquilified colleagues
Young environment
Newly designed office and tropical fish collection
Free food and drinks
Insurance benefits"
"81","Great team culture within some of the smaller divisions.  Also, lots of perks (including a summer party) and internal resources."
"82","The company seems to take reasonably good care of you, with a good compensation package and benefits, and a bright lively working environment. There is a lot of expertise around to learn from if your objective is to develop an understanding of financial markets. The work is fast paced and you will seldom find yourself bogged down in your job. The ability to handle pressure, look at problems from a business... perspective is valued. Good kitchens."
"83","State of the art facilities and equipment.  Responsiveness of HR department on personal issues is excellent.  Benefit program is very good."
"84","Work hours
Social life
free snacks
A Fancy entry on the CV
good flashy office
fast paced projects
nothing else"
"85","The office is beautyful and you probably won't find much better anywhere else. People are also great and it's an excellent place to make new friends and meet people from all around the world. It's a not a bad place to start your career but don't stay too long!"
"86","I'm a senior software engineer at bloomberg and this review is my own + what I have heard from my colleagues and friends in other teams within this company.
* Good compensation (only if you work 8 hrs a day which won't be the case.. normal working hours are 12 to 14 here)
* Smart and intelligent people
* 4 week paid vacation + medical benefit + free food"
"87","- Many entry level positions
- Good chance of moving on from GCUS
- Pantry is like a 7-11
- You get to learn from really smart people"
"88","Benefits are good and the buliding is clean and modernistic"
"89","The paychecks are good, the work is doable, and often fun and exciting. The food and snacks are in endless supply."
"90","- free food in the cafeteria
- nice office building
- looks good on your cv
- some exposure to finance
- benefits are okay"
"91","great place to obtain licensing and gain experience and knowledge and about the markets. also provides huge opportunity to develop relationships within the investment community."
"92","Great work-life balance
Great work environment"
"93","Strong group of quants, smart interesting people, interesting work, lots of room to learn new things (although not much time to do it). This is a great place to start."
"94","Great work/life balance. Young workforce and environment. Great benefits. Snacks are free. Great amount of emphasis on training and education."
"95","There is a lot of opportunity for new grades to learn in Bloomberg. Start-up environment & fast development cycle. Specially useful for new grades."
"96","Free food, summer company party.  Feels like a college environment, very young and youthful. 
Very cool building, lots of opportunity for growth and additional training."
"97","Great atmosphere. Smart people. Free food :) Overall Bloomberg is a great place to work at. The company does very well even in hard times."
"98","Open communication, flexible work environment on the software development side. Great offices and very good perks. Very fair (good) compensation. Startup like approach to handling new projects."
"99","Good quality of work if the function is a new one.
Decent teammates
Get to use Bloomberg terminal"
"100","One of the major pros is that you get to own projects (regardless of whether you are considered 'management'. That certainly makes things exciting"
"101","great free food, nice fish, nice office. fairly good company culture as a whole. summer parties are amazing. provides good training. fairly flexible working hours. fairly good perks/benefits. software terminal is quite cool."
"102","Great benefits
Decent salaries
Good people (non-managers)"
"103","*Very smart people to work with and learn from
*Free snacks and exhibition tickets
*Sponsor (well depending on performence) masters courses."
"104","Access to Bloomberg Terminal, fancy building (6th floor)"
"105","Free chips and soda, if you work long hours and work for 1.5 persons man hours, you will get 10k bonus"
"106","If you want a stable job and just want to spend everyday in the same tedious way, Bloomberg LP is the right place to go. They usually dont fire people, and the work there is just daily routine stuff that doesnt require any intelligence."
"107","Excellent benefits plus some nice perks like an open Pantry, free admission to various museums, etc. Working a Bloomberg provides a broad exposure to the financial Industry, with a well run training program."
"108","Company is willing to invest in resources and training for its employees and offers great networking opportunities and access to the terminal and seminars."
"109","Good perks, opportunities to travel and meet all walks of life, good pay for those who have recenty graduated.  Good training ground."
"110","Bloomberg is a very successful company. Pay is good. Software projects are often interesting and challenging. Coworkers are smart and helpful; they freely sharing knowledge and offer good advice."
"111","Competitive pay
Stable job in a recession
Excellent benefits
Great workplace - awesome building, amazing snacks, summer party and perks
Very helpful and knowledgeable peers
Software ownership - you own the product you develop
Fast paced client facing software development"
"112","good name on your CV for afterwards, exposure to markets, large range of clients to work with, no need to stay overtime, management not very eloquent so a few polysyllabics will sort you out if you're lagging behind"
"113","Decent Pay 
Benefits are good. 
Nice offices."
"114","Nice office, good facilities and friendly people."
"115","* Good snacks
* Compensation is okay, but that's not the only thing any good software developer expects in job. 
Also having good reviews only about the food and compensation for any software development company is shameful."
"116","Free breakfast, lunch and dinner. Delicious gormet food. Excellent hours right around 40 per week - get out at 4:30pm"
"117","Great pay, very plush office environment, offices are always in great locations, nice perks like an all you can eat snack bar, chauffered car to drop you to and from work if you're scheduled at certain hours, attracts very intelligent people."
"118","Great pay
Great benefits
Smart talented people
In-house snack services
Beautiful work environment"
"119","- High pay and good benefits.
- The building is modern and beautiful.
- Fruit and snacks (also a bad thing, too)"
"120","It's a ok place to work. They provided 3 month trainings before you actually start, and you have free food."
"121","Bloomberg has an open working environment. Hundreds of people seating together, your managers may seat right beside you. Free breakfast, free drinks and snacks. Beautiful fish tanks."
"122","FREE FOOD, interesting technology infrastructure, beautiful work settings, name brand recognition, you may get some basic career guidance, did I mention excellent free meals?"
"123","bloomberg offers free food a fairly competitive salary and good benefits. the art and decor of the building is inviting"
"124","Friendly Enviorment
No restrictions
Free Food (Lots and Lots of Junk and Organic food)
Better than industry kind of pay (Not top though)"
"125","good pay
free food
office location good"
"126","Free Snacks
Beautiful Infrastructure and Employee Base
Acces to Bloomberg Terminal
Competitive Benefits"
"127","The company is quick-paced and has a start-up mentality. Bloomberg moves very quickly on business decisions. This company spends serious cash on making its offices and employees feel taken care of and is very green-conscious. Free snacks and continental breakfast are served daily."
"128","Ok Pay and benefits
Pretty slack job"
"129","Free food all day long!  Great benefits and a very fast-paced environment.  Employees are given freedom and they have flexibility.  Management is not in your face all the time but they expect you to come up with the goods. If ""they"" like you then you're set."
"130","great benefits - very comprehensive
work place aesthetic is very nice; has a lot light and artwork
lots of free snacks and bevearges"
"131","One of the best financial data service providers. Lot to gain in terms of financial functional domain as its the leader."
"132","Great place for starting your career.You do get a lot od expsure and can have good networking.A good place to also expllore various opportunities as well"
"133","good to put on a cv
good opportunities for entry level people
nice free snacks and nice building
good ambiance between the workers"
"134","Training program is really good and systematic, good vacation days, health benefit, some activities that can be signed up once a while"
"135","Great place to advance, If you can B-S or kiss butt
Abiliity to transfer between departments 
Lots of training offered"
"136","Excellent benefits
Free food
Posh work environment
Four terminals at your workstation
Central meeting place 
Screen showing the company's achievements and charity work"
"137","At its inception, Bloomberg LP hired employees which did not have colleague degrees.
Company spends millions of $ on summer picnics worldwide"
"138","You will be well compensated. Their benefits are the epitimy of the golden hand cuffs. Not to mention the other perks you get such as discount tickets to all types of events in NYC. They also offer free snacks. Their bonus structure is open so you know what to expect as a bonus."
"139","Great offices, good name to have on your resume, great training available if you are proactive an your manager allows"
"140","Excellent pay and benefits.  The free soda and snacks are nice and the annual summer party is a treat.  You do get free admission and/or discounts to a lot of good places!"
"141","nice pantry, no dress code, nice public image."
"142","Most of the people you work with are fun and friendly. A lot of going out. Nice continuation from college, but with pay."
"143","the benefits, the snacks, the people, the hours (although they are long, at least you get home at a reasonable hour)"
"144","can have access to several different business areas
easy to transfer  between groups
not very pushy in dating projects
good place to learn critcial thinking"
"145","Nice environment.  Every one knows each other even when working in various departments.  The summer parties are wonderful.  I made many new friends for life there.   I would wake up everyday looking forward to going to work."
"146","pays well, stable, lots of potential -- in some alternate universe."
"147","Free snacks, nice surroundings, friendly people."
"148","Great Benefits, Free Food, nice people to work with"
"149","Great firm. Opportunities abound for the hungry, motivated, inspired, and innovative individual. Great place to start a career and get into finance."
"150","Flat structure 
Opportunites for promotions 
Interesting combination of media, finance and technology"
"151","good breakfast, fruits, vegetables, snacks. decent pay compared to other financial firms in NYC. nothing else i cud think of"
"152","Nice colleagues, they usually hire the nicest people they can get, which makes the environment bearable

Canteen is ""OK"", with loads of different options ( 90% very fatty, thou )

Good exposure to the financial market"
"153","People, technology, free food, work environment"
"154","Fun, lively atmosphere.  Broad range of interesting topics covered day to day.  Never bored."
"155","Kind of decent place to work. Beautiful building"
"156","Learn a lot, huge exposure to Financial world."
"157","-The company has a phenomenal public image, you tell people ""I work for Bloomberg"" and you get a lot of ""ooh's"" and ""aah's"".
-There are literally tons of extras -- free food and drink, financial market related training, cultural events, a summer party that obviously cost a bomb, a building with GORGEOUS common areas.
-An unheard of fully financed benefit plan that is pretty comprehensive (medical, dental, vision... at NO cost to you AT ALL).
-No dress code for anybody that doesn't deal directly (face to face) with customers.
-Coworkers (not management, but coworkers) are very well screened prior to hiring, and I've never worked along side people this smart anywhere in the past."
"158","free food
nice people and friends
good benefits"
"159","Free food. Great benefits.  Their platforms are a bit outdated, but you do get complete access to the bloomberg terminal.  Good people to work with."
"160","Great work ambiance and corporate culture
Young and dynamic
Great and continuous training provided
Very multi cultural
Fast moving environment
Challenging and team working
Traveling possibilities
Great benefits
Awesome working conditions (Bloomberg buildings, meeting rooms, kitchen with free food and drinks, etc...)"
"161","Great benefits, you get to live in nyc, good training program, good place for people who intend to work as a programmer for a few years only before switching careers to management/finance track..."
"162","nice perks and snacks.  friendly securities. actually, they are the most friendly people in BB."
"163","Good for engineers with no prior financial background, company provides good training.  Many groups, if you are lucky, you will join a good one."
"164","Great place for recent graduates.  Great introduction to the financial markets and exposure to market players.  Young, vibrant atmosphere. Excellent benefits package."
"165","Working with cutting edge technology, plenty of opportunities to learn more about finance, company is growing certain departments (news, video).  Live up to their horizontal structure claims (easy access to management)."
"166","decent pay
decent group of people"
"167","Good Pay, Good Benefits, free food, classes for employee development, philanthropy"
"168","good training programme, free food. good opportunity to make contacts, male-female ratio is pretty good (on the female side), summer party is outstanding."
"169","The benefits are some of the best I've seen."
"170","Free Food.
Good location in New York City."
"171","The salary is competitive. The environment is very open and transparent. The company still grows like a startup. Very good HR policies. Flexible work hours possible. Promotion from within."
"172","The compensation and benefits for experienced hires at Bloomberg are very good. As a new employee you get four weeks of vacation. Bonuses are solid since the company has always been profitable. 

People are smart and there is a push to get things done quickly. There are many financial courses available for you to take after work, free of charge, so you can learn about financial instruments.

The environment is... fun to work in because it's modern, lively and dynamic. The stunning, modern building could be part of a movie set. There are lots of opportunities to volunteer with your colleagues at group events and the pantry is always stocked with free food and drinks.

Since the Bloomberg terminal is used throughout the financial community, you may have opportunities to connect with people at other financial companies. Bloomberg, as a company, is well regarded in the financial community."
"173","Lots of training
Good name to have on CV
exposure to financial markets
free food
decent benefits
not too stressfull"
"174","salary and job location were the two major reasons . Other reasons include the general stuffs ielike pantry food , easy commute facilities , Working environment is fun"
"175","- Free snacks/breakfast/fruits/drinks
- Decent pay"
"176","Decent compensation. Many interesting perks like free admission to museums, annual picnic. The company culture is on the lay-back side as a financial company. This should be an ideal ""last job"" of anyone."
"177","Good working environment, friendly colleagues"
"178","to get experience in electronic trading"
"179","Worked from 2000~2007.
Highly technological company.
Efficient HR dept.
Compensation is a little below the market.
But not as much pressure as Wall St firms.
No long hours and full benefits.
And free employee kichen!  :)"
"180","Bloomberg is a great place to work if you're just starting out in an entry level position. Broad exposure to multiple different facets of the financial and media worlds. Excellent opportunity to explore new fields with plenty of options for lateral movement to new departments. Enough free food that a little creativity can mean not having to buy lunch. The offices are AMAZING and very centrally located. Young... atmosphere which is a pro or con depending on how you look at it. Amazing summer party."
"181","The Location (New York, NY).
Free snacks and fruits at the pantry.
Perceived brand value in the job market.
Networking with other people.
The finance courses (most of them taught by Stuart Veale)."
"182","good job title for resume
free food"
"183","The location is good and there is a lot of great food, always. There is flexibility in working hours. Benefits are good."
"184","standard comp package
no dress code"
"185","Bloomberg LP clients are the most important people at Bloomberg LP, without exception.

Implements industry standard best practices and more.

Various benefits as mentioned in many other reviews."
"186","There are several opportunities for growth at this company. It is a very collaborative work enviromnent, very dynamic, with opportunities to continue challenging yourself professionaly."
"187","Compensation and benefits are reasonable if not the best in the industry
Growth opportunities
Good benefits such as vacation days, medical insurance, etc"
"188","Good pay.
Interesting Technologies, the company does spend good money on tech, and get the latest and greatest.
Some good people are still there"
"189","Non work related: the pay is pretty good, the building is fancy, they have free drinks + snacks. There are a lot of outside of work activities that are not only offered but also strongly encouraged, such as donations, food/backpack drives, gardening, etc. Also, there are lots of free tickets given out to cool events in the city that you would otherwise never have access to.
Work related: you get to work on projects... that affect a lot of people, and depending which group you land into you may love the work you do. The management is less ""flat"" than what I was told it was like when I joined (early 2009), but there are definitely fewer hierarchical barriers than at most other places."
"190","Pay and benefits top notch, bonus very good compared to a lot software jobs.  The building is amazing.  Snacks are ok (but they get you fat).   Free entry into NY museums and cultural events.  A lot of very smart people, and the work will definitely keep you busy.  You get code into production fast compared to many software jobs, where the turn around on a project might be months to years.  At Bloomberg projects... many projects last weeks."
"191","Great place to work at the intersection of finance and technology. Great building and perks in New York city. Provide in-house training for employees. Involvement in social activities."
"192","great benefits, stable. great start for those new to the industry."
"193","Food is great , 
location and building is very good
pay is ok
there are some real bright people at developer levels"
"194","Primarily a technology company with a passion for innovation and fast-paced time to market. Values meritocracy. Great perks like health benefits, free food, drinks, tuition reimbursements etc."
"195","Transparency is at every level. Huge set of intelligent people  to work with.People are supportive and collaborative in nature"
"196","Great environment, such smart people to work around. You always learn something new when you are working and everything around you is amazing"
"197","The benefits are really good and the compensation is very competitive.  The office conditions are some of the best I've ever seen and, financially speaking, the company is very stable, even in times of economic hardship."
"198","Fifty percent match on 401k benefit.
Fully paid medical insurance.
Free snacks in the pantry area.
Access to financial data."
"199","AT bloomberg there is good benefits and good salary, and the flexibility to manage your own projects however you want."
"200","free food free food free food"
"201","-Surrounded by bright colleagues
-A beautiful building to work in
-A great place to socialize and network
-Trendy things are usually going on"
"202","It really is a great company with great perks. 
the snack bar
pay"
"203","Well known international Financial news company"
"204","Good company reputation
Software is actually great - easy sell
Good career prospects - internationally / locally"
"205","bright & motivated people (might depend on group, though)
company-sponsored courses
nice office building
regular volunteer & recreational activities
free snacks, juices, salads & fruits"
"206","Great benefits, challenging work if you are looking to make a career in financial services in product development role."
"207","Good name, company location and salary."
"208","Good benifit package
50% match in 401k"
"209","Fifty percent match on 401k benefit.
Fully paid medical insurance.
Free snacks in the pantry area.
Access to financial data."
"210","Free food, company pays for good benefits, exposure to some very smart employees"
"211","Efficient working environment, no bureaucratic, cutting edge technology. Good benefit and incentive for good performance. Different group work together nicely on project."
"212","If you need to break into new areas, there may be opportunities here, if you can find management sponsorship, but that will be challenging."
"213","Good salary
Good benefits 
Good for your CV"
"214","Good Perks, Funky Offices, International Environment, Young Colleagues, Decent Pay. A great place to start your career, but it becomes very repetitive after a while. Also, your initial salary is key - it won't increase much after that."
"215","Fantastic opportunity to learn about the markets and the Bloomberg products
Great chance to develop unique selling skills
Opportunities for promotion"
"216","Like I said, riding the wave."
"217","bright people, efficient communication. free snack"
"218","Great facilities. Great working conditions overall. Lots of freebies and possibility to get training on a lot of products."
"219","Provides very good training across market sectors"
"220","Excellent Brand Name
Employee friendly work culture"
"221","It was a place full of smart colleagues, great resources and terrific access. The pay was good and the benefits were comprehensive."
"222","Lots of room for professional growth. The company is growing a lot which allows room for promotions and possible pay raises."
"223","working in the financial industry is very good"
"224","Transparency, good employee services, employee care, good pay, flat structure company"
"225","Benefits package one of the best in the industry"
"226","Free food and the fish tanks"
"227","it is a very open and supportive environment with a lot of resources. they value and treat their workers really well and there is free food!"
"228","Positive environment through interaction with mostly motivated staff and clients from the financial sector. Training was systematic and comprehensive. Good exposure to service C-level executives."
"229","Great benefits: good 401K plan (most of my plan recovered the market crash as of the end of 2010) with a good match.  4 weeks of vacation even for junior employees, unlimited sick days (theoretically, depends on your relationship with the manager and if he trusts you and how good you are with the ""system"" (bring doctor notes when in doubt ). Relatively good dental, vision and medical plans, but medical plan got... worse over the years (larger copays, etc, but it's a country-wide issue)."
"230","Great company, useful experience and amazing training program."
"231","Free snacks and coffee
Good office location
Modern office setup"
"232","Nice work environment
Good benefits (free health insurance, 4 weeks vacation)
Free snacks
Fair treatment of employees usually
Diversity
No dress code
Great location"
"233","diverse work force
it could be a great place to work with some adjustments"
"234","A good place to start"
"235","Truely international! Many opportunities given at junior levels to grow and travel to various locations meeting finance people fromvarious institutions"
"236","nice working environment, open, transparent, fast-paced.
opportunity to access bloomberg terminal and also the daily usage with it"
"237","- employee development is taken seriously 
- promotions are not based on seniority
- generous compensation if you stick around
- industry leading product that keeps getting better   
- nice work environment 
- good hearted people"
"238","Fast Paced environment, Great execution of plans"
"239","Good procedures to bring new employee on board.
Good technical help.
Good service considering alpha/beta/prod deployments.
Well-defined programming framework."
"240","The people and flexible corporate culture, opportunity for travel, spirit of employee, philanthropy policy"
"241","good to start off career. open culture, best way to learn from experts in finance and foot in the door into financial markets."
"242","I like my job overall. nice people and nice environment. free food and drink. provides consideration to my personal life as well"
"243","Great benefits, opportunities to do different things."
"244","fantastic offices and technology; highly respected product (the terminal)"
"245","They respect employees, trust them, and treat them as competent professionals.  The company culture encourages employees to share information as much as possible.  Generally, only stuff that really matters to the company is required (e.g. no dress code if the public doesn't see you)."
"246","very dynamic work environment at bloomberg"
"247","Good pay
Good benefits
Nice office and desk
Free food and drinks
Looks good on your resume"
"248","great pantry, great working environment, intensive financial training which would be helpful for someone who doesn't have any background knowledge."
"249","1) Good holiday and paid day off.
2) Benefit (salary, insurance, 401k)/work hour is generally good.
3) Nice office, free drink and snacks."
"250","Consists of an interesting group of people.  Recognized brand.  Exposure to high profile people.  Being part of the media world."
"251","It's a great place to get to know people with different background."
"252","Physically nice spaces to work. Very smart, competent colleagues around the world who are generally able and willing to work cooperatively. Easy to get through to top decisionmakers for interviews thanks to company reputation."
"253","Exposure to a great business model, and great balance between personal and professional life."
"254","Great benefits
Less beaurocracy
Smart People to work with
Lot can be learned"
