answer_re,answer_re_n
I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.,
Great benefits and open culture,"benefits, culture"
"Viagens, benefícios, clima, cultura de diversidade",
Ability to do your own research and drive product,
Ótimos benefícios empresa proporciona muito conforto aos funcionários,
"good fundamental knowledge in fixed income, more than most other places",
Nice philanthropy opportunities in the company. Most of the profits are given for charity and great Kuddos for that!,great
Great training and development opportunities of work hard,work
"I was in a very good technical team Really nice place Relaxing atmosphere, did not feel the pressure A lot of intern events, but there are not many mandatory ones There is food on the events","food, place, pressure"
Great place to start your career,place
Good corporate culture Lots to learn,culture
Great training class and lovely working environment,"environment, working"
"Work-life balance, Perks, colleagues, environment",environment
Great people to work with,"work, people"
Learning experience in FIX protocol,
"good benefits, stability, friendly culture","culture, friendly"
#NAME?,"snacks, free"
"Good benefits, good opportunities to move within company",company
Camaraderie - you will meet some lifelong friends Opportunities to move to different areas of the business,
The best company I worked for,company
The quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place. Sadly the scribblers tend to be promoted.,
"I think Bloomberg is an amazing company, i worked years in another country and moved to the US and been working for Bloomberg for , the benefits and the work life balance is good and its a very organized company.","balance, benefits, work, working"
"Some great people, typically the ones that don't hang around too long",great
"Pay is decent, I wish I could say more.",
"Great benefits, everyone is super nice, and if you are proactive you can succeed",
#NAME?,"balance, work, pay"
You will get the best opportunity to rub shoulders with one of the best and great minds working in Finance industry,"great, working"
"Meet some really genuine people, pantry. Pay is decent enough with no real incentive to go extra mile. Performance review process can be doctored with zero transparecny in the process. Constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment.",culture
Hard-working colleagues from diverse backgrounds,
"Great introductory role into financial markets, great people with in depth knowledge teaching new joiners.","great, people"
"great company, well paid job. lots of perks",great
Dynamic The people Fast paced Perks,"people, paced"
Great benefits. Stocked up kitchen. Beautiful office space. Give lots of awards and title changes. Good resume builder. Also good as one of your first jobs out of college,
Used to have free lunch . Not anymore. Cannot think of anything else.,free
"Great benefits, Great pay, Great company",company
"Good software practises, large diversity of teams and products, great perks for a financial company.",great
A lot of young people,people
"Good team, fun environment to work for","environment, work"
"Really flat structure, open, good work/life balance culture","culture, balance"
Good salary and good culture,"salary, culture"
"estavel, e baixa pressao... boa qualidade de vida",
Ótima empresa. Ótima remuneração e benefícios. Cultura muito forte e respeitosa. Pessoas muito competentes e profissionais.,
High pay. Especially high base salary. Good benefits.,
"Excellent work environment and benefits, fast moving culture and challenging projects.","environment, work, fast, culture"
Very diverse and fast pace work environment with great benefits package & time off,"benefits, environment, work, fast, great"
"Great place to grow your career in the world of finance, tech and business",place
"Great culture, a lot of smart people and good work life balance.","work, smart, people"
"kitchen, location, access to Bloomberg",
"kitchen, location, access to Bloomberg",
"interesting technologies to learn and work with, smart people, large company with a small company feeling.","smart, work, company"
"Benefits, Salary, Employment Stability, Good Travel Policy",
"when you leave the office, there is little expectation of doing work",work
"Good benefits overall : Pension, Health, Life, Dental..",benefits
"Great salary, excellent company benefits & office with a view","benefits, company"
Management is flat and friendly environment,"environment, friendly"
"Very dynamic environment, lots of windows, great team, lots of volunteering opportunities.",great
"Good Benefits, nice culture energetic",culture
Great benefits and office environment,"environment, benefits"
Good perks including hotels and flights,
"Company values, benefits, pay were good.",pay
Vale transporte Horario de almoco mais flexível,
"Great exposure to the company, shadow many departments, great place to start and know where you want to go.","great, place"
American culture and friendly environment. Great people. There are many projects that make the work more interesting.,"work, culture, friendly"
Mike Bloomberg is a visionary Top notch benefits and paid time off Exceptional focus on philanthropy if you want to participate Incredible headquarters building A truly disruptive technology that changed the way information is disseminated in the financial markets Team environment If you are selling at Bloomberg you will never have to work a weekend,"environment, benefits, work"
"culture, diveristy, work environement, challenging",work
) Salary slightly above market rate. ) Most managers are reasonably good and fair. ) Global exposure. ) Work/life balance.,
"Good training, company perks",company
"Friendly and transparent working environment. Free snacks, fruits and drinks in pantries. Great benefits (K, Health/Dental/Vision insurance and so on) Flexibility in working hours.","insurance, benefits, working"
"Free canteen, reasonable hours, decent modern office",
Good exposure for all kinds of clients,
"Coffee, Yoga, Drinks, Flexible Work Clothes, Great Culture",
Dedicated people. Good work life balance.,work
"It's a well known brand with some really amazing products compared to its competitors, it's well respected in the industry so the sales job is a bit easier compared to others.",
Likely best company in financial services in terms of benefits,"benefits, company"
Invest heavily to train fresh graduates. They tend to promote young people.,
"Pantry, great office supplies; high skilled professionals in almost every field.",great
great benefits fun people in some departments stability,"great, benefits, people"
"Too many to list. Health, wealth, work/life balance,",
"Open culture, flat heirarchy, flexibility to pick projects and develop new skills",
"great pay. Bloomberg pays for top quality employees. The benefits are great. If your manager likes you, you have a lot of resources to accomplish your goal. And Bloomberg would spend lot of resources to accomplish its goals.","great, benefits"
"Great offices and benefits, good salary.",
Very smart colleagues; highly international organisation; feeling of being part of something special; always at the cutting edge of developing news.,"smart, cutting, edge"
Lay back and interesting at times,
"Great culture, generally relaxed environment, lots of smart people. You have lots of freedom choosing what you want to work on. Great work/life balance.","work, smart"
Bloomberg is a legit and well respected company. The CEO is amazing and some awesome colleagues. Plenty of young colleagues (if you're younger and starting out). Volunteering activities are great. Company is serious about philanthropy.,
"Pantry, lots of events and opportunitites.",
Benefits and compensation are very good,compensation
"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.","work, smart, food"
"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.","work, smart, food"
"good pay, good people, nice office",
My department is incredible. Everyone is cooperative and truly cares about each other and our clients. It also really incentivizes you to grow within the company and explore new projects.,company
Great Company with a great mission. Good compensation with leading benefits,"great, benefits, compensation"
"They have good work/life balance, and good benefits",benefits
#NAME?,snacks
#NAME?,environment
Lots of perks and pays competitively,
* Great Health Care * Free Snacks * Intelligent/Driven Co-Workers,
Loved company culture and diverse group of employees. Great place to work and learn a lot not only about your department but about other departments as well. I learned a lot of valuable skills.,"work, place, culture, company"
Good work environment and nice colleagues,"environment, work"
Challenging and get things done culture,culture
Fun atmosphere great discounts awesome pay (if you work hard enough for commission),"great, work, pay"
"Brand name, nice office, good compensation",compensation
"The people, culture, benefits, work hours, access to training, and more. The product we sell and the clients we serve covers a wide array of the financial sector and financial products, with solutions as specific to analyzing very complicated securities all the way to front-to-middle-to-back enterprise offerings. Working with those tools and the clients who use them provides access and insights to the markets inner... workings that would be hard to find anywhere else.",work
"Decent work environment, good benefits.",work
"Bloomberg is an amazing company with a very strong culture. The company is an especially good place to start when early in your career, as it carries strong name brand recognition and offers regular training, in addition to great benefits.","great, place, company"
Work life balance Decent pay Easy work,"balance, work, pay"
"Great culture, flexible and fun",flexible
"Good working environment, facilities and compensation","compensation, working"
Beautiful building and great colleagues,great
Bloomberg is a major global provider of financial news and information,
"- Been here over years, always have been encouraged a healthy WLB. - the work has always been interesting - Food is great (NJ office). - Internal mobility is encouraged. - philanthropy is highly encouraged and it feels good to work for a place","great, work, place"
Cutting-edge company on the forefront of fintech,company
Good training and development,
"The benefits are some of the best you'll find in the business: No healthcare premium, great (K) match.","great, benefits"
"At the forefront of financial information, data and analytics.",
"Secured job, ok compensation",compensation
You can be part of a company that has a significant impact on the financial world.,company
#NAME?,"benefits, work, culture"
nice environment and nice staff,environment
"Great work life balance, focus on philanthropy, great team and coworkers, dynamic culture, fast-paced working environment, excellent benefits, high early career compensation growth.","great, work, compensation, working"
The office has a nice view of the water and Micheal Bloomberg is a great guy,great
Lots of training Good comps Great product Great global leaders,
A really great working culture,"great, culture, working"
"- Strong focus on positive and nurturing culture . - Great benefits , one of the best health insurance in the city - Good work life balance - Focus on continuous learning through many in-house training programs","benefits, insurance, work, health, culture, balance"
Great benefits Slightly higher than average salary Free snacks/dinner or lunch Good working environment,"environment, benefits, salary, working"
"Great Wellness, Health and Professional Support",
"Best Culture, No Stress, Amazing Team, Free food",food
good culture really helpful colleagues,culture
"Culture is very welcoming. Lots of opportunities to give back, lots of internal issue groups to join, flexible schedules available.",flexible
"Great perks, culture and a lot of learning opportunities within the firm, pay well and you get a lot of exposure to different financial products and roles.","culture, pay"
"Snacks, smart people, travel and good salary","smart, salary"
"Great benefits and culture, my team also allows for great work life balance","great, benefits, work, balance"
"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. k match, quality healthcare benefits, generous vacation time, in-office perks etc. * Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc. * Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change. * Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last years. * Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics. * Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.","benefits, people, compensation, work, salary, culture, working, pressure, environment, company"
"Ethos, Benefits, Flexibile Working, Colleagues",
"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.","snacks, free"
"Great workplace, positive people. Great work-life balance.",
Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.,culture
Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people,"people, friendly"
"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional",
Great benefits and people and amazing place to work if you are good at networking,"benefits, work, place, people"
Good company and offer good salary,"salary, company"
"Lots of opportunities for projects, great compensation package, lots of perks in the office","great, compensation"
"good office environment, techonology driven,young teams",
Bloomberg is a great place to work...if you're in the right department,"great, place"
Great work environment. Great boss,work
Potential to be more dominant than it already is.,
You will be learning new things,
relatively good compensation compared to others,compensation
Development and company culture. Work and life balance.,company
Fast moving You will learn at your own pace,
"Good pantry, good health insurance","insurance, health"
Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.,"company, culture"
The benefits and unlimited snacks Free Health care Competitive k,"snacks, benefits"
An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust,
If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.,place
"Great building, nice package such as health insurance options, etc.","insurance, health"
* Free Snacks * Free Soup * Beautiful Pantry * HealthCare Benefits (BWELL),
good work-life balance and benefits,"benefits, balance"
"Benefits are outstanding, from medical to (k) match to vacation and some very nice colleagues, but the bloom falls off the rose after a few months at a firm whose original editorial chief built a culture of fear, an intense + hour workday and a style that condones uniformity. Editorial folks' comp is good vs. what else is out there, and why many never want to leave.",culture
Good dynamic and good place to learn. Good benefit,place
Open culture Good work life balance Excellent health benefits Free drink and snacks,"snacks, benefits, work, health, culture, balance"
"Good perks, company culture and environment. Good salary, quick raise at the beginning Broad marke exposure, good training","company, culture"
"Good salary, good benefits, open environment",environment
"Amazing buildings, smart people, global reach, great added benefits, and philanthropic investment.","great, smart"
"Great product, good support structure, dependable colleagues, global firm with strong presence",
"Fantastic benefits, including full health coverage and generous k match",health
"good pay, good environment, friendly colleague",friendly
"Good compensation and health plan for employees and dependents, nice balance work/life balance and tons of opportunities within the company, diversity. I always had very good managers.","balance, health, compensation"
"Good compensation and health plan for employees and dependents, nice balance work/life balance and tons of opportunities within the company, diversity. I always had very good managers.","balance, health, compensation"
"Friendly colleagues, might meet interesting clients, decent salary. Nearly impossible to get fired",
"Working for mike Bloomberg, great benefits and pay","great, benefits, pay"
"good benefits, amazing offices, great health insurance, work with really smart people, lots of travel","great, work, health, smart"
#NAME?,"insurance, pay, working, hours"
Pantry & company benefits are very generous. People around you are very friendly. A great place to make friends,"great, benefits, place, company"
"opportunities open to employees. job swaps, relocation available. great work/life balance","great, balance"
"Good pays, great benefits, nice office space, good colleagues",great
"If you're young, it will prepare you and help you get a job elsewhere.",
Very dynamic environment flat hierarchy easy to develop your career across different roles,environment
#NAME?,"great, benefits"
collaborative place to work I would say,"work, place"
Good opportunities for work progress. Great training.,work
"High compensation and job security compared with other media jobs. You have resources needed to do job well, brand gives access to sources, stories get high visibility. Generally work along talented colleagues.","work, talented, compensation"
"OK benefits (Healthcare is not too bad, pension plan is medium, holidays are fairly good)",benefits
Good office and working environment,"environment, working"
"Ótima empresa para se trabalhar, como entry level é ótimo por ter a oportunidade de participar de projetos e desenvolver diferentes habilidades. Para a efetivação é bastante difícil.",
"Dynamic, open environment with good work life balance.","environment, work"
Open culture and knowledge sharing People The company donates huge amount of profits to good causes Interesting projects Great Benefits,"company, culture"
"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits","insurance, benefits, company"
"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits","insurance, benefits, company"
"Pay and benefits Free food, snacks etc","snacks, benefits"
"A lot of bright people working with you or near you, agile is growing in the company, good work environment, nice desks, there is the pantry, which is really nice, view to St Pauls, nice perks, many courses to learn new things, in most teams a relaxed environment, you work for someone much better than Trump.","work, people, working"
Very philanthropic company. Encourages open communication. Pays at par with other big tech firms.,
"Competitive salaries, great benefits (health, K), good offices","great, benefits"
Adequate salary Good benefits Excellent office environment,"environment, benefits, salary"
- Great Training! Expect at least - months of classroom training on everything from the basics of financial markets to the most advanced topics of Fixed Income and Equity derivatives - Provides amazing insight into giving a good customer experience - ,
Great health insurance. Larger company has performed well.,"health, company"
I have knowledge about research and I like to research so I chose this,
Work culture is something unique. Flat management structure. Nice colleagues,"culture, management"
Very flexible daily working style,"flexible, working"
"Global Mobility, Lots of career opportunities to explore",
"Good pay, good food and good people","food, people"
"Good training program for new grads, good work-life balance",balance
"salary, people, location, training, technology",
"Great benefits, work life balance not so bad","work, balance"
"good culture, well training and pension fund plan.",
#NAME?,"food, people"
Health Benefits. Open and transparent office.,
"flat structure, interesting and competent colleagues, good salary and benefits, opportunities for advancement",salary
#NAME?,
"Open cultural, places to learn knowledge, experiences",
Long term thinking and investing in products coming from the philosophy of the major share holder,
"Food, Health Care, Snacks, Early bonuses, Early raises.",
Free food in pantry; good healthcare benefits,"benefits, food"
"Flat, Diversity and great work life balance","great, work, balance"
"Caveat that your entire experience like any large company depends on what department and seniority you hold. My review for pros and cons centers on experiences in the financial products realm, not engineering, news or media. In terms of pros, Bloomberg has some great, really good, and good things going for it. There are some genuinely talented, smart people who when given the chance can do some great work. The... culture and environment is extremely energised and lively, and there is always a buzz in any of the top notch global offices. The Bloomberg Way of start executing, building, or doing first and figure out as you go along can be very powerful (but also detrimental as outlined in cons). The benefits are overall generally strong (especially in the US with no healthcare premiums) but not over the top. Some great cultural benefits and partner programs. Philanthropy is a huge part of the company and there are numerous ways to feel a part of that. The majority of company profits do go to funding Mike Bloomberg's philanthropic initiatives, which if you are aligned with those (like me) then it's great. There are also weekly (if not daily) ways to get involved in countless other volunteering initiatives.","great, benefits, people, smart, culture, environment, company"
"Salary! BB pays very well. This is the first company I've been at that actually makes good on their promise of a bonus as well. It's very stable here. This is NOT a hire / fire culture. They vet for the best and make every effort to make you successful in the company. If a team dissolves, they will work with you to find a new team - at least for engineers. The work from home capabilities are decent. You can wear... whatever you want. Literally. Before I joined I thought BB was a stiff-necked cross between a bank and hedge fund. Nope. I was happily mistaken. They have fresh fruit, free soup, tons of coffee, and snacks for free - daily. Oh, and every office is littered with tons of exotic salt & fresh water tanks. Like, they're everywhere. It's beautiful.","snacks, work, home, free, company"
#NAME?,"work, paced, balance"
truely global environment canteen really care about employee welfare,environment
truely global environment canteen really care about employee welfare,environment
- Great benefits - Free food and drinks in the pantry - vacation days at start of year - Yearly Picnic event at Randall's island - Fun people to work with,"benefits, work, food, people"
#NAME?,culture
Loved everything about this job,
"Fast-paced, responsibility, interesting co-workers, good office benefits",benefits
"Amazing office, great ambiance and vibes, transparency, free food If you perform well, they will invest so much in you from knowledge to mental health wise Philanthropy Diversity Great culture Dynamic work, never dull","food, free, health, culture, great"
"Great atmosphere, wonderful people, excellent perks. Very good training program for fresh recruits to catch up to company operations standards.",company
"Great work space, centrally located",work
"Good name recognition, broad exposure",
great benefits and environment. good prospects,"great, benefits"
"Great benefits, culture, education, and some of the friendliest people",people
There is free food and snacks consistently at your disposal. The organization is big on volunteering and philanthropic endeavors so working here will afford you the opportunity to make an impact on other people’s lives outside of the company. That’s the full extent of the benefits in my opinion.,"snacks, benefits, food, free, working"
"Great brand, people and product",people
Excellent work environment and great team. Internal systems are well established and seamless,"great, work, environment"
Nice office environment Great salary package.,"environment, salary"
"Smart co-workers, great offices around the world, fast paced environment, huge philanthropic presence, generally a meritocracy","great, fast, paced"
Good compensation and medical care benefit,compensation
Good environment and facilities (pantry),environment
"Competitive salary, good benefits; global company means you get lots of opportunities to move location/departments",company
Good pay and benefits Nice architecture,"benefits, pay"
"Great culture, salary, colleagues and office",
Benefits are really great and work life balance,"great, work, balance"
World class training. Fantastic brand. Free snacks and breakfast. Put in front of clients very quickly. Given remit to run initiatives. Very fast learning curve and potential progression. Very good benefits.,"snacks, fast"
"Flexible work hours, Amazing office",work
Incredible products High level of collaboration Travelling and benefits Office and pantry are top notch Good basic salary,"benefits, salary"
#NAME?,"fast, people"
Flat hierarchy and good work life balance.,work
"Loved the people, and the snacks! A great company to do an internship with!","great, company"
its obvious everyone loves the food but forgets that this place s a dominant force,"food, place"
#NAME?,"benefits, company, culture"
"First job coming out of university, great platform to build from.",great
#NAME?,"snacks, salary, company"
"Smart, kind, hardworking coworkers, and profits go largely towards philanthropic work",work
"Lots of opportunities for trying different skills and learning, interesting work and travel",work
Great company culture with good perks and opportunity for volunteering,"company, culture"
#NAME?,"benefits, people, pay, work, great"
"nice pantry, nice building, good looking colleagues",
"Hard work is rewarded, great internal perks, smart employees","smart, work, great"
#NAME?,salary
"Great benefits, free snacks, great culture, cool and interesting atmosphere, opportunities to grow and move","free, great"
"* this is a company with definite name recognition. * change is the constant - all company says it, this company lives it * rare position to learn from each other, the clients and from the market - it's SOOO in touch.",company
Lots to learn about the software and financial industries. You'll find the place is highly collaborative and people work to get stuff done. The engineering culture is great.,"work, place, people, culture"
"free snacks, autonomy, and ability to learn a lot",free
"Great Benefits, snacks, beautiful office",
"Fun, smart and dynamic people. High tech company. Good social events. Great office. Free breakfast. Good salary and benefits","benefits, smart, salary"
"Benefits, culture, technology",
CEO might be president. Good work-life balance.,
"It is a great out of college job if you have little to no work experience. You will learn to use the terminal - mostly to help clients with login issues and you will also transfer calls to other departments. Hence, you will learn about the company bit by bit as you have to liaise with other departments regularly. If you have a decent work history - this job is too entry level for you. If you are interested in... technical operations - you should try for Installs etc -- there have been systemic changes since my departure and it is more of a hybrid-outlook. However, it is still relatively entry level. You will meet a lot of people. You will make friends if you are the type to go to work to make friends, etc. Solid K; healthcare benefits; vacation time; unlimited sick days (doctor's note required after a certain amount of days).","great, work, company"
benefícios como plano de saúde são bons.,
given all the resources to do the job,
Good work life balance ethic,"work, balance"
Take care of employees very well,
"The culture is very unique. No real titles, which means you can have a lot of ownership over your role and career. Most of the company's profits go to philanthropy, which is unlike any other company. Really makes it all worthwhile. Great benefits, no monthly cost for health insurance.","health, culture"
"Great company, enjoyable environment, interesting work, reasonable life/work balance",balance
Great learning and very open minded working,working
Management et organisation au millimètre. Très bonne condition de travail.,
"Good working environment, interesting learning opportunities",working
"Great people, challenging work, nice perks, flexible schedule",flexible
"Great perks and benefits, including free food","free, food"
#NAME?,"environment, working"
The best culture in new york.,culture
Everything is perfect. I like everything.,
New employees likely have a chance but existing employees won't survive the change in organizational management.,
good benefit package compared to other news orgs,
#NAME?,"work, home, pay"
Good work environment. Opportunities to move/grow,work
"Great culture, good engineers and good work life balance","work, balance"
Very nice people and cool environment,"environment, people"
Great values and principles; Lots of very talented and smart people; can be inspiring in the right context,"smart, talented"
"free food, cool building, everyone is young & attractive",free
"Culture, people, office, innovative, open",
"Good benefits, lots of challenging/interesting work",work
Great company / awesome product.,company
"Great benefits, humane workplace, reasonable salary.",
Good environment Supportive colleagues Lots of snacks Opportunities to learn and have trainings,"snacks, environment"
Hard work pays off here,work
Large organization with muscle; good HR practices on paper; A very good place to learn functional aspects and team dynamics.,place
"Very flat structure offering broad opportunities. Excellent benefits, high quality offices and fantastic pantry",
"Great life-work balance, career path and possibility to move from one team to the other",
Great company culture and perks If you network with the right people you can take on interesting projects Good work-life balance,"culture, people, balance, company"
"Great company. Lots of mentorship, supportive environment, benefits are fantastic, generous tuition match and genuine interest in employee self-improvement.",benefits
A good place to work and a friendly environment,"environment, work, place, friendly"
#NAME?,"great, people"
"Great company to work for, loads of free benefits.","free, work, company"
Great Culture..Work life balance is amazing,balance
Nice cowerkers and free lunch on site,free
Stable job Company not too big - A person can make an impact at the firm level easier Treats employees very well Amazing office,
Good place to work; free food,"food, free, place"
"*Free Healthcare if you complete the annual Health Assessment during open enrollment *Free breakfast, snacks, coffee/tea, lunch (soup) *Free Dinner after PM *Very generous K match, (% up to % of annual salary, max of /yr) *Nice work-life balance (dept: sales & account mgmt)",balance
"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.","work, talented"
"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.","work, talented"
Great environment for developing skills,environment
#NAME?,"work, people"
"young environment, multi cultural atmosphere. good diversity",
"Diverse, challenging environment with good options for skills set development","environment, options"
"While others' reports of some outdated technologies and an in-house tech stack that can make transfer of knowledge of to other companies less than what it could be, there's a very clear company effort to modernize. On top of that, it seems like the company has invested in its engineers to compete with some of the other top firms (especially true for the intern program), and it shows in the level of talent that the... company attracts. Overall this is a very competent engineering department and a good place to work that's getting better every year.","work, place, company"
